id,field,title
1,computer,"마이크로소프트, 9월에 맥용 비주얼스튜디오 지원 종료"
2,computer,"S2W, 다크웹 AI언어모델 ‘다크버트’ 웨비나 성료"
3,computer,"노준형 롯데정보통신 대표, ‘1회용품 제로 챌린지’ 참여"
4,computer,대형 SW 사업 문제 해결 위해 업계 모였다…이견 좁힐 수 있을까
5,computer,"앤시스코리아, LG사이언스파크와 스타트업 공동 육성"
6,computer,"LG CNS, 구글 클라우드와 생성형 AI 사업 협력"
7,computer,"NHN클라우드, 델 서버 기반 광주 AI 데이터센터 구축"
8,computer,"네이버클라우드, IITP와 AI 인재 발굴 나서"
9,computer,"오픈베이스, 애큐온저축은행 ITO 사업 수주"
10,computer,"IBM, 'Z용 왓슨x 코드 어시스턴트' 공개…""올해 4분기 출시"""
11,computer,"오픈베이스, 애큐온저축은행 IT시스템 통합 유지보수 사업 수주"
12,computer,"디노도, 아태지역 고객 사례·성과 공유"
13,computer,"애자일소다, 한국장학재단에 AI OCR 기술 공급"
14,computer,"코드형 인프라 '테라폼', 생태계 둘로 쪼개지다"
15,computer,"디지털플랫폼정부 최상위 통합플랫폼,‘DPG허브’ 설계 착수"
16,computer,디지털플랫폼정부 최상위 통합플랫폼 'DPG허브' 설계 착수
17,computer,"시놀로지, ‘NH푸드’ 태국 데이터 보호로 신뢰성 지원"
18,computer,"캐논, 'CKR 프라이버시 마스크’ 국제나은병원에 1호 구축"
19,computer,"LG CNS, ‘구글 클라우드 파트너 어워즈’ 2개 부문 수상"
20,computer,작년 상장한 루닛도 증자…의료AI 기업들 자금조달 '러시'
