vacancy,salary,company,city
Разработчик iOS,ЗП не  указана,Тинькофф,Владивосток
Flutter разработчик (Middle),100 000 – 180 000 ₽,DNS Технологии,Владивосток
Тестировщик мобильных приложений (Middle),от 90 000 ₽,DNS Технологии,Владивосток
Тестировщик мобильных приложений (Junior),от 60 000 ₽,DNS Технологии,Владивосток
Программист-стажер 1C,80 000 – 100 000 ₽,ООО Золотая мозаика,Владивосток
Системный аналитик 1С (Стажер),50 000 – 80 000 ₽,ООО Апогей-ВЛД,Владивосток
Внедренец 1С (Стажер),50 000 – 80 000 ₽,ООО Апогей-ВЛД,Владивосток
Системный администратор 1С (Стажер),50 000 – 70 000 ₽,ООО Апогей-ВЛД,Владивосток
Middle Backend developer PHP,от 150 000 ₽,ООО Дальневосточный Интеллектуальный Потенциал,Владивосток
Фармацевт-провизор (дистанционно),до 60 000 ₽,ООО Чеки из Аптеки,Владивосток
