name,year
Indiana Jones and the Dial of Destiny,N/A
Meg 2: The Trench,5.3
The Boogeyman,6.1
The Last Voyage of the Demeter,6.4
Vacation Friends 2,5.3
Oppenheimer,8.8
You Are So Not Invited to My Bat Mitzvah,6
Spider-Man: Across the Spider-Verse,N/A
Elemental,N/A
The Flash,N/A
Barbie,N/A
No Hard Feelings,6.8
Gran Turismo,7.4
Cobweb,6.2
The Dive,5.6
Blue Beetle,6.7
Past Lives,8.4
Guardians of the Galaxy Volume 3,N/A
Heart of Stone,5.7
"Ruby Gillman, Teenage Kraken",5.7
John Wick: Chapter 4,N/A
Fast X,N/A
The Super Mario Bros. Movie,7.4
The Meg,5.6
